id,representation_2024,representation_2026,minimum_representation,classification
7699,0,0.8875,0,Retained in 2026 only
7700,0,0.8875,0,Retained in 2026 only
7701,0,0.8625,0,Retained in 2026 only
7702,0,0.8375,0,Retained in 2026 only
7703,0,0.775,0,Excluded from both; 2026 only
7704,0,0.775,0,Excluded from both; 2026 only
7705,0,0.7625,0,Excluded from both; 2026 only
7706,0,0.7125,0,Excluded from both; 2026 only
7707,0,0.7125,0,Excluded from both; 2026 only
7708,0,0.7,0,Excluded from both; 2026 only
7709,0,0.3875,0,Excluded from both; 2026 only
7710,0,0.6375,0,Excluded from both; 2026 only
7711,0,0.6375,0,Excluded from both; 2026 only
7712,0,0.6125,0,Excluded from both; 2026 only
7713,0,0.6125,0,Excluded from both; 2026 only
7714,0,0.6,0,Excluded from both; 2026 only
7715,0,0.6,0,Excluded from both; 2026 only
7716,0,0.6,0,Excluded from both; 2026 only
7717,0,0.5875,0,Excluded from both; 2026 only
7718,0,0.5125,0,Excluded from both; 2026 only
